City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Mar Del Plata,AR,2022-12-18 20:38:48,-38.0023,-57.5575,75.83,76,75,28.01
120,Clyde River,CA,2022-12-18 20:38:49,70.4692,-68.5914,14.23,79,0,4.61
121,Deniliquin,AU,2022-12-18 20:36:12,-35.5333,144.9667,63.9,45,0,12.48
122,Flinders,AU,2022-12-18 20:38:49,-34.5833,150.8552,61.18,73,95,7.0
123,Hobart,AU,2022-12-18 20:37:49,-42.8794,147.3294,51.26,90,20,9.22
124,Antalaha,MG,2022-12-18 20:38:50,-14.9003,50.2788,73.67,89,85,4.16
125,Amapa,BR,2022-12-18 20:38:50,1.0,-52.0,78.64,78,96,5.46
126,Felipe Carrillo Puerto,MX,2022-12-18 20:38:51,19.5833,-88.05,82.83,57,63,5.66
127,Kingaroy,AU,2022-12-18 20:38:51,-26.5333,151.8333,61.74,72,93,9.66
128,Ancud,CL,2022-12-18 20:38:51,-41.8697,-73.8203,60.82,59,100,6.33
129,Tasiilaq,GL,2022-12-18 20:38:52,65.6145,-37.6368,10.56,47,0,5.68
130,Leningradskiy,RU,2022-12-18 20:38:52,69.3833,178.4167,15.57,87,99,11.27
131,Suffolk,US,2022-12-18 20:38:05,40.8668,-72.7996,40.86,56,20,12.66
132,Bin Qirdan,TN,2022-12-18 20:38:53,33.1378,11.2197,63.21,71,100,13.0
133,Dera Ghazi Khan,PK,2022-12-18 20:38:53,30.0561,70.6348,59.49,26,0,2.3
134,Balikpapan,ID,2022-12-18 20:38:53,-1.2675,116.8289,76.19,88,20,4.61
135,Tambura,SS,2022-12-18 20:38:54,5.6,27.4667,82.71,28,97,3.89
136,Christchurch,NZ,2022-12-18 20:36:16,-43.5333,172.6333,61.41,93,75,1.14
137,Sao Filipe,CV,2022-12-18 20:39:54,14.8961,-24.4956,76.78,68,28,8.95
138,Norilsk,RU,2022-12-18 20:39:55,69.3535,88.2027,-7.58,97,100,2.33
139,Klaksvik,FO,2022-12-18 20:39:55,62.2266,-6.589,36.52,84,100,42.48
140,Mayo,US,2022-12-18 20:39:55,38.8876,-76.5119,42.94,49,40,17.27
141,Nemuro,JP,2022-12-18 20:39:56,43.3236,145.575,21.33,62,0,20.0
142,Port Elizabeth,ZA,2022-12-18 20:39:56,-33.918,25.5701,68.29,76,75,8.05
143,Djougou,BJ,2022-12-18 20:39:57,9.7085,1.666,77.13,20,3,5.77
144,Hilo,US,2022-12-18 20:37:57,19.7297,-155.09,83.28,69,20,4.61
145,Mareeba,AU,2022-12-18 20:39:57,-17.0,145.4333,74.44,89,34,4.68
146,Norman Wells,CA,2022-12-18 20:39:57,65.282,-126.8329,-9.36,77,100,20.71
147,Stornoway,GB,2022-12-18 20:39:58,58.2093,-6.3865,44.92,89,100,14.97
148,Abu Dhabi,AE,2022-12-18 20:39:58,24.4667,54.3667,71.96,59,0,2.3
149,Aviles,ES,2022-12-18 20:39:59,43.5547,-5.9248,63.79,51,0,4.61
150,Marawi,PH,2022-12-18 20:39:59,7.9986,124.2928,67.89,95,100,0.74
151,Iqaluit,CA,2022-12-18 20:39:59,63.7506,-68.5145,26.33,93,100,16.11
152,Saint-Philippe,RE,2022-12-18 20:40:00,-21.3585,55.7679,76.59,82,97,12.15
153,Nouadhibou,MR,2022-12-18 20:40:00,20.931,-17.0347,73.38,60,0,13.8
154,Mehamn,NO,2022-12-18 20:40:01,71.0357,27.8492,19.35,73,0,26.46
155,Khujner,IN,2022-12-18 20:40:01,23.7833,76.6,60.66,34,6,2.68
156,Vila Franca Do Campo,PT,2022-12-18 20:40:02,37.7167,-25.4333,64.2,88,100,21.65
157,Chistogorskiy,RU,2022-12-18 20:40:02,53.9835,87.3843,1.27,96,100,5.77
158,Jamestown,US,2022-12-18 20:38:07,42.097,-79.2353,27.01,67,100,19.57
159,Vanavara,RU,2022-12-18 20:40:03,60.34,102.2797,-3.12,98,100,3.89
160,Mitsamiouli,KM,2022-12-18 20:40:03,-11.3847,43.2844,80.28,82,49,11.72
161,Isangel,VU,2022-12-18 20:40:04,-19.55,169.2667,80.71,74,1,2.3
162,Hue,VN,2022-12-18 20:36:04,16.4667,107.6,60.91,94,100,4.61
163,Zyrardow,PL,2022-12-18 20:40:04,52.0488,20.446,20.97,96,33,8.19
164,Qui Nhon,VN,2022-12-18 20:40:05,13.7667,109.2333,68.77,87,100,20.58
165,Kattivakkam,IN,2022-12-18 20:40:05,13.2167,80.3167,77.09,71,84,10.47
166,Shimoda,JP,2022-12-18 20:40:05,34.6667,138.95,34.11,57,0,26.17
167,Gamba,GA,2022-12-18 20:40:06,-2.65,10.0,76.01,90,82,3.74
168,Olafsvik,IS,2022-12-18 20:40:06,64.8945,-23.7142,25.93,64,100,33.98
169,Boa Vista,BR,2022-12-18 20:40:06,2.8197,-60.6733,89.58,48,40,11.5
170,Antofagasta,CL,2022-12-18 20:36:04,-23.65,-70.4,70.88,69,3,6.15
171,Paamiut,GL,2022-12-18 20:40:07,61.994,-49.6678,17.26,57,10,11.34
172,Shelburne,CA,2022-12-18 20:40:07,44.0787,-80.2041,30.65,91,92,18.23
173,Vestmannaeyjar,IS,2022-12-18 20:40:08,63.4427,-20.2734,22.42,53,91,12.97
174,Nyurba,RU,2022-12-18 20:40:09,63.2842,118.3319,-44.61,100,97,4.32
175,Mahebourg,MU,2022-12-18 20:40:09,-20.4081,57.7,77.29,73,40,9.22
176,Bahia De Caraquez,EC,2022-12-18 20:40:10,-0.6,-80.4167,77.59,71,100,8.28
177,Namtsy,RU,2022-12-18 20:40:10,62.7161,129.6658,-31.76,99,100,1.57
178,Alofi,NU,2022-12-18 20:40:11,-19.0595,-169.9187,82.29,78,75,9.22
179,Yuzhno-Kurilsk,RU,2022-12-18 20:40:11,44.0306,145.8556,23.43,57,82,23.62
180,Carbonia,IT,2022-12-18 20:40:12,39.1672,8.5222,51.01,88,6,3.22
181,Faya,SA,2022-12-18 20:41:12,18.3851,42.4509,51.91,52,0,1.25
182,Ahipara,NZ,2022-12-18 20:41:12,-35.1667,173.1667,69.1,58,0,2.3
183,Henties Bay,NA,2022-12-18 20:41:13,-22.116,14.2845,62.74,93,10,4.83
184,Ola,RU,2022-12-18 20:41:13,59.5833,151.2833,0.09,90,19,10.09
185,Nuuk,GL,2022-12-18 20:41:14,64.1835,-51.7216,25.41,54,20,1.14
