City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Bengkulu,ID,-3.8004,102.2655,84.85,63,33,4.65,scattered clouds
119,Zverinogolovskoye,RU,54.4586,64.8542,19.35,85,100,11.88,overcast clouds
120,Dingle,PH,10.9995,122.6711,79.59,88,99,13.22,overcast clouds
121,Luena,AO,-11.7833,19.9167,59.85,97,100,4.0,overcast clouds
122,Clyde River,CA,70.4692,-68.5914,5.23,72,100,6.91,overcast clouds
123,Pevek,RU,69.7008,170.3133,20.01,53,0,10.13,clear sky
124,Camacupa,AO,-12.0167,17.4833,57.63,96,86,3.18,overcast clouds
125,Grindavik,IS,63.8424,-22.4338,25.27,80,40,44.87,scattered clouds
126,Abha,SA,18.2164,42.5053,46.22,81,0,0.0,clear sky
127,Avera,US,33.194,-82.5271,45.91,50,100,5.26,overcast clouds
128,Avarua,CK,-21.2078,-159.775,78.85,83,75,3.44,light rain
129,Japura,ID,-0.3167,102.35,85.6,67,68,2.35,broken clouds
130,Thompson,CA,55.7435,-97.8558,-11.04,70,100,11.5,overcast clouds
131,Savannah Bight,HN,16.45,-85.85,80.74,72,10,19.71,clear sky
132,Yuty,PY,-26.6,-56.25,72.61,63,46,5.46,scattered clouds
133,Purpe,RU,64.4803,76.6897,-5.48,98,100,11.72,overcast clouds
134,Jiaocheng,CN,24.6774,116.1389,60.03,45,0,1.41,clear sky
135,Hami,CN,42.8,93.45,22.37,45,70,3.56,broken clouds
136,Mount Gambier,AU,-37.8333,140.7667,79.07,29,100,5.17,overcast clouds
137,Ahipara,NZ,-35.1667,173.1667,69.93,62,1,7.99,clear sky
138,Ode,NG,7.7899,5.7117,69.01,31,12,2.28,few clouds
139,Stornoway,GB,58.2093,-6.3865,48.16,85,40,29.93,scattered clouds
140,Carnarvon,AU,-24.8667,113.6333,78.31,66,4,7.72,clear sky
141,Vilhena,BR,-12.7406,-60.1458,68.13,99,100,2.98,overcast clouds
142,Tasiilaq,GL,65.6145,-37.6368,12.36,50,0,4.0,clear sky
143,Ugoofaaru,MV,5.6667,73.0,79.9,72,100,4.43,overcast clouds
144,Alofi,NU,-19.0595,-169.9187,87.69,66,40,9.22,scattered clouds
145,Ambovombe,MG,-25.1667,46.0833,74.52,87,94,8.28,overcast clouds
146,Provideniya,RU,64.3833,-173.3,26.71,68,40,22.37,scattered clouds
147,Cherskiy,RU,68.75,161.3,22.46,76,48,5.48,scattered clouds
148,Belyy Yar,RU,53.6039,91.3903,13.89,85,100,2.24,snow
149,East London,ZA,-33.0153,27.9116,64.62,69,52,16.37,broken clouds
150,Ignacio De La Llave,MX,18.7167,-95.9833,71.17,90,70,3.91,broken clouds
